"Proc","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)","Restart count","Min restart time(ms)","Avg restart time(ms)","Restart after kill count","Min restart after kill time(ms)","Avg restart after kill time(ms)"
"10053","1","2m39s384ms","159384","88%","159384","159384","0","0","","0","0",""
"10052","1","2m7s0ms","127000","70%","127000","127000","0","0","","0","0",""
"3882","1","54s484ms","54484","30%","54484","54484","0","0","","0","0",""
"4135","1","1m10s950ms","70950","39%","70950","70950","0","0","","0","0",""
"3084","1","53s87ms","53087","29%","53087","53087","0","0","","0","0",""
"10019","1","15s780ms","15780","8%","15780","15780","0","0","","0","0",""
"2623","1","2m34s528ms","154528","85%","154528","154528","0","0","","0","0",""
"2544","1","38s965ms","38965","21%","38965","38965","0","0","","0","0",""
"2465","1","3m0s209ms","180209","100%","180209","180209","0","0","","0","0",""
"3113","1","3m0s209ms","180209","100%","180209","180209","0","0","","0","0",""
"3157","1","54s679ms","54679","30%","54679","54679","0","0","","0","0",""
"10010","1","2m33s763ms","153763","85%","153763","153763","0","0","","0","0",""
"10013","1","1m0s473ms","60473","33%","60473","60473","0","0","","0","0",""
"10057","1","2m20s892ms","140892","78%","140892","140892","0","0","","0","0",""
"10015","1","2m37s102ms","157102","87%","157102","157102","0","0","","0","0",""
"10058","1","2m8s941ms","128941","71%","128941","128941","0","0","","0","0",""
"10014","1","2m6s746ms","126746","70%","126746","126746","0","0","","0","0",""
"10017","1","2m19s286ms","139286","77%","139286","139286","0","0","","0","0",""
"2902","1","1m0s833ms","60833","33%","60833","60833","0","0","","0","0",""
"10020","1","2m36s131ms","156131","86%","156131","156131","0","0","","0","0",""
"3172","1","1m9s957ms","69957","38%","69957","69957","0","0","","0","0",""
"3050","1","1m52s636ms","112636","62%","112636","112636","0","0","","0","0",""
"10029","1","2m36s234ms","156234","86%","156234","156234","0","0","","0","0",""
"2313","1","40s443ms","40443","22%","40443","40443","0","0","","0","0",""
"10022","1","2m35s342ms","155342","86%","155342","155342","0","0","","0","0",""
"10066","1","25s684ms","25684","14%","25684","25684","0","0","","0","0",""
"10021","1","2m30s125ms","150125","83%","150125","150125","0","0","","0","0",""
"10065","1","1m47s206ms","107206","59%","107206","107206","0","0","","0","0",""
"3686","1","53s394ms","53394","29%","53394","53394","0","0","","0","0",""
"10024","1","2m36s906ms","156906","87%","156906","156906","0","0","","0","0",""
"10068","1","2m18s462ms","138462","76%","138462","138462","0","0","","0","0",""
"10067","1","2m19s767ms","139767","77%","139767","139767","0","0","","0","0",""
"10069","1","2m35s998ms","155998","86%","155998","155998","0","0","","0","0",""
"3800","1","53s786ms","53786","29%","53786","53786","0","0","","0","0",""
"10028","1","10s302ms","10302","5%","10302","10302","0","0","","0","0",""
"4073","1","1m3s25ms","63025","34%","63025","63025","0","0","","0","0",""
"4590","1","1m25s853ms","85853","47%","85853","85853","0","0","","0","0",""
"4392","1","1m52s736ms","112736","62%","112736","112736","0","0","","0","0",""
"10071","1","2m10s886ms","130886","72%","130886","130886","0","0","","0","0",""
"10072","1","1m13s375ms","73375","40%","73375","73375","0","0","","0","0",""
"1000","1","25s889ms","25889","14%","25889","25889","0","0","","0","0",""
"3023","1","3m0s209ms","180209","100%","180209","180209","0","0","","0","0",""
"2130","1","48s109ms","48109","26%","48109","48109","0","0","","0","0",""
"2052","1","51s95ms","51095","28%","51095","51095","0","0","","0","0",""
"2009","1","34s282ms","34282","19%","34282","34282","0","0","","0","0",""
"2405","1","40s382ms","40382","22%","40382","40382","0","0","","0","0",""
"2844","1","2m35s644ms","155644","86%","155644","155644","0","0","","0","0",""
"1037","1","2m39s362ms","159362","88%","159362","159362","0","0","","0","0",""
"2167","1","3m0s209ms","180209","100%","180209","180209","0","0","","0","0",""
"10076","1","2m10s156ms","130156","72%","130156","130156","0","0","","0","0",""
"3731","1","1m17s7ms","77007","42%","77007","77007","0","0","","0","0",""
"10034","1","2m24s290ms","144290","80%","144290","144290","0","0","","0","0",""
"4425","1","1m54s686ms","114686","63%","114686","114686","0","0","","0","0",""
